date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:53:01	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20May%202022%2006:22:59%20GMT	https://www.infosecmaestros.com/robots.txt		(from )
11:53:02	202615/202615	---M--	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2009:10:51%20GMT	https://www.infosecmaestros.com/	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/index.html	(from )
11:53:04	122956/122956	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2011:55:28%20GMT	https://www.infosecmaestros.com/css/bootstrap.css	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/css/bootstrap.css	(from https://www.infosecmaestros.com/)
11:53:04	72259/72259	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2011:55:23%20GMT	https://www.infosecmaestros.com/css/animate.css	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/css/animate.css	(from https://www.infosecmaestros.com/)
11:53:05	7764/7764	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2011:55:43%20GMT	https://www.infosecmaestros.com/css/owl.carousel.css	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/css/owl.carousel.css	(from https://www.infosecmaestros.com/)
11:53:06	6951/6951	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2011:55:41%20GMT	https://www.infosecmaestros.com/css/magnific-popup.css	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/css/magnific-popup.css	(from https://www.infosecmaestros.com/)
11:53:08	139984/139984	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2011:55:45%20GMT	https://www.infosecmaestros.com/css/style.css	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/css/style.css	(from https://www.infosecmaestros.com/)
11:53:08	7052/7052	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2014:34:13%20GMT	https://www.infosecmaestros.com/fonts/et-line-font/style.css	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/fonts/et-line-font/style.css	(from https://www.infosecmaestros.com/)
11:53:09	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Subhash%20sir/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.infosecmaestros.com/)
11:53:09	25237/25237	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2014:35:13%20GMT	https://www.infosecmaestros.com/fonts/elegant_font/HTML_CSS/style.css	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/fonts/elegant_font/HTML_CSS/style.css	(from https://www.infosecmaestros.com/)
11:53:10	966/966	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2011:55:25%20GMT	https://www.infosecmaestros.com/css/bg.css	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/css/bg.css	(from https://www.infosecmaestros.com/)
11:53:11	4369/4369	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2011:56:50%20GMT	https://www.infosecmaestros.com/css/colors/orange.css	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/css/colors/orange.css	(from https://www.infosecmaestros.com/)
11:53:12	322/322	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2011:55:34%20GMT	https://www.infosecmaestros.com/css/bootstrapValidator.css	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/css/bootstrapValidator.css	(from https://www.infosecmaestros.com/)
11:53:13	736/736	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2011:55:39%20GMT	https://www.infosecmaestros.com/css/jquerysctipttop.css	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/css/jquerysctipttop.css	(from https://www.infosecmaestros.com/)
11:53:14	202615/202615	---M--	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2009:10:51%20GMT	https://www.infosecmaestros.com/index.html	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/index-2.html	(from https://www.infosecmaestros.com/)
11:53:15	18101/18101	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202022%2017:16:05%20GMT	https://www.infosecmaestros.com/images/isma-22-logo-web.png	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/images/isma-22-logo-web.png	(from https://www.infosecmaestros.com/)
11:53:16	18101/18101	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202022%2006:44:17%20GMT	https://www.infosecmaestros.com/images/isma-21-logo-web-nomination.png	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/images/isma-21-logo-web-nomination.png	(from https://www.infosecmaestros.com/)
11:53:17	123164/123164	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Apr%202022%2017:16:56%20GMT	https://www.infosecmaestros.com/images/slider/01_01.jpg	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/images/slider/01_01.jpg	(from https://www.infosecmaestros.com/)
11:53:18	119187/119187	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Apr%202022%2009:18:57%20GMT	https://www.infosecmaestros.com/images/website-hero-isma-logo-2.png	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/images/website-hero-isma-logo-2.png	(from https://www.infosecmaestros.com/)
11:53:18	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20May%202022%2006:23:16%20GMT	https://www.infosecmaestros.com/images/team/small/3.jpg	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/images/team/small/3.11.delayed	(from https://www.infosecmaestros.com/)
11:53:19	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20May%202022%2006:23:17%20GMT	https://www.infosecmaestros.com/images/team/small/2.jpg	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/images/team/small/2.12.delayed	(from https://www.infosecmaestros.com/)
11:53:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20May%202022%2006:23:18%20GMT	https://www.infosecmaestros.com/images/team/small/4.jpg	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/images/team/small/4.13.delayed	(from https://www.infosecmaestros.com/)
11:53:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20May%202022%2006:23:19%20GMT	https://www.infosecmaestros.com/images/team/small/1.jpg	C:/My%20Web%20Sites/Subhash%20sir/www.infosecmaestros.com/images/team/small/1.14.delayed	(from https://www.infosecmaestros.com/)
11:53:23	12560/12560	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Apr%202022%2010:37:36%20GMT	https://infosecmaestros.cioaxis.com/images/team/Ajay-Bongirwar,-Delinea.jpg	C:/My%20Web%20Sites/Subhash%20sir/infosecmaestros.cioaxis.com/images/team/Ajay-Bongirwar,-Delinea.jpg	(from https://www.infosecmaestros.com/)
11:53:23	12837/12837	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Apr%202022%2009:48:52%20GMT	https://infosecmaestros.cioaxis.com/images/team/Akhil-Verma_Paytm-Money.jpg	C:/My%20Web%20Sites/Subhash%20sir/infosecmaestros.cioaxis.com/images/team/Akhil-Verma_Paytm-Money.jpg	(from https://www.infosecmaestros.com/)
11:53:24	14094/14094	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Apr%202022%2009:48:54%20GMT	https://infosecmaestros.cioaxis.com/images/team/Aman-Chhikara,-Hindalco.jpg	C:/My%20Web%20Sites/Subhash%20sir/infosecmaestros.cioaxis.com/images/team/Aman-Chhikara,-Hindalco.jpg	(from https://www.infosecmaestros.com/)
11:53:25	14326/14326	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Apr%202022%2009:49:00%20GMT	https://infosecmaestros.cioaxis.com/images/team/Avinash-Dharmadhikari_Presistent-Systems.jpg	C:/My%20Web%20Sites/Subhash%20sir/infosecmaestros.cioaxis.com/images/team/Avinash-Dharmadhikari_Presistent-Systems.jpg	(from https://www.infosecmaestros.com/)
